Name,Mean,Standard Deviation,Skewness,Kurtosis,Jarque-Bera,ADF
SPX Close,2129.7708955146895,1267.980380072146,1.240882722488692,3.5665968505814956,1706.18 (***),2.98
SPX Returns,0.735330773064063,26.378070730100482,-0.6899482872430827,17.15595413659524,53254.20 (***),-15.78 (***)
SPX Log Return,0.00022570498909120658,0.012217773596485858,-0.38646775326237853,13.406048714991808,28663.52 (***),-19.11 (***)
SPX Log Return Squared,0.00014930130761778176,0.0005251580126597271,14.005383858953824,291.8912495051422,22176905.82 (***),-8.56 (***)
SPX High Low Range,0.012973898217812977,0.009808420782679328,3.0525771067591605,19.287962977097216,79664.33 (***),-6.45 (***)
